pdbid,-logKd/Ki,SMILES
10gs,6.4,O=C(N[C@H](C(=O)N[C@H](c1ccccc1)C(=O)O)CSCc1ccccc1)CC[C@@H](C(=O)O)[NH3+]
11gs,5.82,CC[C@H](C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O)CSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
13gs,4.62,OC(=O)c1cc(/N=N/c2ccc(cc2)S(=O)(=O)Nc2ccccn2)ccc1O
16pk,5.22,O[C@@H]1[C@@H](COP(OP(C(CCCC(P(O)(O)O)(F)F)(F)F)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
184l,4.72,CC(Cc1ccccc1)C
185l,3.54,c1ccc2c(c1)[nH]cc2
186l,4.85,CCCCc1ccccc1
187l,3.37,Cc1ccc(cc1)C
188l,3.33,Cc1ccccc1C
1a07,6.4,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C)CCC(=O)O)CCCCC
1a08,5.62,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)C(P(O)(O)O)(F)F)NC(=O)C)CCC(=O)O)CCCCC
1a09,6.7,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(c(c1)CO)OP(O)(O)O)NC(=O)C)CCC(=O)O)CCCCC
1a0q,7.57,CCCC[C@@H](P(Oc1ccccc1)(O)O)NC(=O)CCC(=O)O
1a0t,1.3,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
1a1b,6.4,CCCCCN(C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O)CCCCC
1a1c,6.4,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N(CCCC1CCCC1)C)CCC(=O)O)Cc1ccc(cc1)OP(O)(O)O
1a1e,6,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O
1a28,8.29,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
1a2c,6.3,OC[C@@H](NC(=O)[C@@H]1C[C@H]2[C@@H](N1C(=O)[C@@H](NC(=O)[C@@H](Cc1ccc(cc1)O)O)CC(C)C)C[C@@H](CC2)O)CCC[NH+]=C(N)N
1a30,4.3,CC(C[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(=O)O)C
1a37,6.92,[NH3+]CC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)NCC(=O)NCC(=O)O)COP(O)(O)O
1a3e,8.46,[NH3+]CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CC=C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C)Cc1ccc(cc1)O)CCC(=O)O)[C@H](CC)C)CCC(=O)O)CCC(=O)O)Cc1ccccc1)CC(=O)O
