,pdbid,smiles
0,2qju,C[NH2+]CCCN1c2ccccc2CCc2c1cccc2
1,3hg1,CC[C@@H]([C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)[C@H](O)C)CC(C)C)[C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(C)C)C)C
2,1u9l,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(C)C)CO)CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CC(=O)N)[NH3+])CCC[NH+]=C(N)N)C
3,6gvx,C1CC[NH+](CC1)CCOc1ccc(cc1)c1cnc2n(c1)ncc2c1ccncc1
4,5jsj,O=C(c1ccc(c(c1)Nc1ccc(cc1)OC[NH+]1CCCC1)C(=O)N1CCC(CC1)CC[NH+]1CCCC1)N1CCC(CC1)CC[NH+]1CCCC1
5,2pql,[NH3+]CCc1c[nH]c2c1cccc2
6,5lpm,CCc1c([nH]c(c1C(=O)C)C)C(=O)N[C@@H]1[C@@H](O)CCc2c1cc(Cl)cc2
7,4p6g,CNC(=O)O[C@H]1COc2c([C@@H]1NC(=O)c1ccc(cc1)F)cc(cc2)N1CC[N@H+](CC1)C1COC1
8,4h38,CCCCCCCCOc1cccc(c1)COc1ccc(cc1P(O)(O)O)Br
9,2y1x,O=C([C@@H]([NH3+])C)NCc1cccc(c1)n1nc(cc1c1nnc(o1)c1cccc2c1cc[nH]2)C(F)(F)F
10,3udv,O[C@@H]1[C@@H](CS[C@@H]2CC[N@@H+](CC2)CCNC(=O)C2=N[C@@H]3C(=O)NC(=[NH+]C3=NC2(C)C)N)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
11,3sio,CC[N@H+]1C[C@@]2(CC[C@@H]([C@]34[C@H]1[C@](O)([C@H]([C@H]23)OC)[C@@]1([C@@H]2[C@H]4C[C@@H]([C@@H]2OC)[C@H](C1)OC)O)OC)COC(=O)c1ccccc1N1C(=O)C[C@@H](C1=O)C
12,5j5d,OC(=O)CCCCCC(=O)O
13,5orr,Nc1snnc1c1ccc(cc1)C(F)(F)F
14,1e3v,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C[C@H](O)[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C
15,1i9o,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1ccc(c(c1F)F)F
