,pdbid,smiles
0,1a30,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C([O-])=O)CC(C)C)CC([O-])=O)CCC([O-])=O
1,1bcu,c1cc(N)cc2nc3cc(N)ccc3cc12
2,1bzc,[P](=O)(=O)(=O)C(c1cc2ccc(cc2cc1)C(=O)N[C@H](C(=O)N)CC[C-](=O)=O)(F)F
3,1c5z,c1(C(N)=[NH2+])ccccc1
4,1e66,n1c2cc(Cl)ccc2c(N)c2c1C[C@H]1C=C(CC)C[C@@H]2C1
5,1eby,c1(CO[C@H]([C@@H]([C@H]([C@@H](OCc2ccccc2)C(=O)N[C@H]2c3c(cccc3)C[C@H]2O)O)O)C(=O)N[C@H]2c3c(cccc3)C[C@H]2O)ccccc1
6,1g2k,N1(Cc2cc(C(=O)NC)ccc2)S(=O)(=O)N(Cc2ccccc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@H]1COc1ccccc1
7,1gpk,c1(=O)[nH]c2c(cc1)[C@@]1([NH3+])/C(=C/C)[C@@H](C2)C=C(C)C1
8,1gpn,c1(=O)[nH]c2c(cc1)[C@]13[C@@H]([C@H](C2)C=C(C)C1)CCC[NH2+]3
9,1h22,c1(=O)[nH]c2c(cc1)[C@@H]([NH2+]CCCCCCCCCC[NH2+][C@@H]1c3c([nH]c(=O)cc3)CCC1)CCC2
10,1h23,c1(=O)[nH]c2c(cc1)[C@@H]([NH2+]CCCCCCCCCCCC[NH2+][C@@H]1c3c([nH]c(=O)cc3)CCC1)CCC2
11,1k1i,c1(C[C@@H](C(=O)N2[C@@H](C([O-])=O)CCCC2)NS(=O)(=O)c2ccc3c(c2)cccc3)cc(C(=[NH2+])N)ccc1
12,1lpg,c1(OCc2ccccc2)ccc2c(c1)cc(C(NCc1ccc([N+](C)(C)C)cc1)=O)n2Cc1cc(C(N)=[NH2+])ccc1
13,1mq6,c1(NC(=O)c2c(NC(=O)c3scc(CN(C)C4=NCCO4)c3Cl)c(OC)cc(Cl)c2)ncc(Cl)cc1
